chr	start	end	lnc
chr5	72196700	72204740	lnc-FCHO2-2
chr5	72306171	72306724	lnc-ZNF366-15
chr5	72330294	72333019	lnc-TMEM171-3
chr5	72346926	72348683	lnc-TMEM171-2
chr5	72354247	72373267	lnc-TMEM171-1
chr5	72448242	72448765	lnc-ANKRA2-14
chr5	72596472	72596697	lnc-ANKRA2-11
chr5	72740653	72742815	lnc-ANKRA2-9
chr5	72743513	72743830	lnc-ANKRA2-8
chr5	72793374	72794172	lnc-ANKRA2-7
chr5	72794249	72801448	lnc-UTP15-1
chr5	72848355	72850255	lnc-ZNF366-16
chr5	72853255	72861492	lnc-ZNF366-17
chr5	72861567	72863502	lnc-RP11-428C6.1.1-5
chr5	72868313	72874241	lnc-RP11-428C6.1.1-4
chr5	73090187	73091343	lnc-UTP15-2
chr5	73099120	73099424	lnc-ANKRA2-10
chr5	73130909	73144849	lnc-UTP15-3
chr5	73204224	73207527	lnc-UTP15-4
chr5	73272633	73281705	lnc-RP11-428C6.1.1-3
chr5	73337880	73349691	lnc-RP11-428C6.1.1-6
chr5	73590131	73598374	lnc-HEXB-4
chr5	73613810	73614107	lnc-HEXB-3
chr5	73923230	73937249	lnc-ENC1-5
chr5	73989299	74001082	lnc-NSA2-5
chr5	74011470	74012654	lnc-NSA2-4
chr5	74014115	74018454	lnc-NSA2-3
chr5	74026084	74029213	lnc-FAM169A-5
chr5	74035813	74037673	lnc-FAM169A-4
chr5	74225704	74226391	lnc-NSA2-7
chr5	74286013	74286462	lnc-GCNT4-4
chr5	74302537	74302837	lnc-GCNT4-3
chr5	74337139	74341142	lnc-GCNT4-2
chr5	74521248	74521493	lnc-HMGCR-3
chr5	74632744	74633089	lnc-POLK-6
chr5	74641423	74646646	lnc-POLK-5
chr5	74650132	74650991	lnc-POLK-4
chr5	74651004	74652274	lnc-POLK-3
chr5	74664311	74667666	lnc-ANKRD31-2
chr5	74669787	74681748	lnc-ANKRD31-3
chr5	74670287	74670634	lnc-HMGCR-2
chr5	74892938	74893865	lnc-ANKDD1B-3
chr5	74903577	74908056	lnc-POC5-4
chr5	74931136	74955129	lnc-POLK-1
chr5	74965018	74967175	lnc-POLK-2
chr5	74973345	74981193	lnc-COL4A3BP-2
chr5	74990483	75013260	lnc-COL4A3BP-3
chr5	75013487	75027023	lnc-ANKDD1B-5
chr5	75048394	75049304	lnc-POC5-3
chr5	75206107	75206401	lnc-POC5-5
chr5	75371355	75371745	lnc-SV2C-1
chr5	75537009	75538229	lnc-F2RL2-5
chr5	75576780	75577092	lnc-IQGAP2-4
chr5	75587589	75591947	lnc-IQGAP2-3
chr5	75637758	75638599	lnc-IQGAP2-2
chr5	75672499	75672974	lnc-SV2C-2
chr5	75806264	75806591	lnc-SV2C-4
chr5	75892898	75896703	lnc-F2R-5
chr5	75967694	75969606	lnc-F2R-4
chr5	75970465	75973367	lnc-F2R-3
chr5	76114805	76115096	lnc-S100Z-1
chr5	76132726	76133020	lnc-F2RL2-4
chr5	76259059	76264781	lnc-S100Z-2
chr5	76369464	76372369	lnc-WDR41-4
chr5	76374865	76383025	lnc-WDR41-3
chr5	76721794	76732104	lnc-WDR41-1
chr5	76723251	76725632	lnc-OTP-5
chr5	76758917	76916401	lnc-OTP-4
chr5	76931755	76932818	lnc-WDR41-2
chr5	76985914	76986422	lnc-PDE8B-5
chr5	76987083	76990102	lnc-OTP-1
chr5	77044989	77048014	lnc-OTP-2
chr5	77081947	77082426	lnc-OTP-3
chr5	77288634	77295669	lnc-AP3B1-3
chr5	77298818	77311697	lnc-TBCA-6
chr5	77316531	77339962	lnc-TBCA-7
chr5	77383319	77412011	lnc-TBCA-9
chr5	77417545	77436994	lnc-TBCA-10
chr5	77518007	77518341	lnc-PDE8B-11
chr5	77603326	77603738	lnc-BHMT2-6
chr5	77784634	77787129	lnc-AP3B1-4
chr5	77805822	78065844	lnc-LHFPL2-3
chr5	78004556	78011905	lnc-ARSB-1
chr5	78049418	78049696	lnc-BHMT2-5
chr5	78076174	78079317	lnc-LHFPL2-1
chr5	78180116	78181653	lnc-DMGDH-2
chr5	78280567	78282546	lnc-BHMT2-4
chr5	78351676	78531861	lnc-DMGDH-1
chr5	78365598	78373964	lnc-BHMT-2
chr5	78378214	78379021	lnc-BHMT-1
chr5	78407631	78412227	lnc-BHMT2-2
chr5	78525726	78526411	lnc-JMY-1
chr5	78596065	78621020	lnc-BHMT-3
chr5	78657783	78659412	lnc-HOMER1-3
chr5	78806256	78806742	lnc-PAPD4-3
chr5	78839219	78843467	lnc-HOMER1-4
chr5	78842537	78875119	lnc-PAPD4-2
chr5	78907942	78919471	lnc-PAPD4-1
chr5	78916400	78916938	lnc-HOMER1-5
chr5	78940468	78944474	lnc-CMYA5-5
chr5	78944527	78975491	lnc-CMYA5-4
chr5	78977474	78981153	lnc-CMYA5-3
chr5	78985658	79025438	lnc-CMYA5-2
chr5	79025108	79029333	lnc-HOMER1-7
chr5	79144136	79144959	lnc-MTX3-3
chr5	79287133	79351729	lnc-THBS4-4
chr5	79296492	79307708	lnc-MTX3-2
chr5	79315431	79315743	lnc-CMYA5-6
chr5	79369094	79372702	lnc-SPZ1-4
chr5	79377826	79379011	lnc-SPZ1-3
chr5	79393523	79393766	lnc-THBS4-5
chr5	79434702	79435990	lnc-MTX3-4
chr5	79442899	79443344	lnc-THBS4-6
chr5	79452816	79463003	lnc-MTX3-5
chr5	79543321	79565280	lnc-SPZ1-1
chr5	79703933	79706159	lnc-FAM151B-2
chr5	79736991	79744007	lnc-FAM151B-1
chr5	79783804	79837861	lnc-ZFYVE16-1
chr5	79899201	79899463	lnc-DHFR-3
chr5	79924356	79950366	lnc-ANKRD34B-5
chr5	79946321	79946796	lnc-MSH3-2
chr5	79946860	79947865	lnc-ANKRD34B-4
chr5	79950970	79952332	lnc-FAM151B-3
chr5	80042157	80042638	lnc-DHFR-4
chr5	80151325	80151662	lnc-DHFR-5
chr5	80189372	80211519	lnc-MSH3-3
chr5	80293001	80293866	lnc-ACOT12-10
chr5	80529157	80548105	lnc-RASGRF2-1
chr5	80550399	80562215	lnc-RASGRF2-2
chr5	80597408	80608792	lnc-ZCCHC9-2
chr5	80613992	80615088	lnc-ZCCHC9-3
chr5	80621270	80622154	lnc-ACOT12-3
chr5	80621844	80622787	lnc-ZCCHC9-4
chr5	80709892	80711537	lnc-ACOT12-4
chr5	80715797	81047616	lnc-SSBP2-5
chr5	80813190	80815724	lnc-ACOT12-9
chr5	81188308	81188540	lnc-ATG10-4
chr5	81374245	81374541	lnc-ATP6AP1L-7
chr5	81407210	81572676	lnc-ATG10-6
chr5	81436373	81437039	lnc-ATP6AP1L-5
chr5	81574240	81575280	lnc-ATP6AP1L-3
chr5	81852302	81852514	lnc-RPS23-4
chr5	82073615	82074405	lnc-XRCC4-8
chr5	82120702	82121003	lnc-XRCC4-7
chr5	82312031	82312429	lnc-XRCC4-4
chr5	82316883	82317185	lnc-TMEM167A-6
chr5	82317692	82318359	lnc-XRCC4-3
chr5	82348666	82373682	lnc-TMEM167A-4
chr5	82497047	82497960	lnc-VCAN-4
chr5	82575739	82576463	lnc-TMEM167A-8
chr5	82722494	82722849	lnc-VCAN-2
chr5	82767436	82779423	lnc-XRCC4-5
chr5	82837766	82849293	lnc-XRCC4-6
chr5	82937050	82937306	lnc-EDIL3-6
chr5	83016571	83017020	lnc-EDIL3-5
chr5	83170984	83171640	lnc-EDIL3-4
chr5	83402477	83477060	lnc-HAPLN1-3
chr5	83995533	83995947	lnc-EDIL3-7
chr5	84295737	84296113	lnc-EDIL3-8
chr5	84486446	84486648	lnc-EDIL3-9
chr5	84505877	84506721	lnc-EDIL3-10
chr5	84533498	84533892	lnc-EDIL3-11
chr5	85101123	85117412	lnc-COX7C-16
chr5	85383343	85383665	lnc-COX7C-13
chr5	85698282	85698778	lnc-COX7C-11
chr5	85858378	85866294	lnc-AC008394.1-9
chr5	85913744	85916765	lnc-RASA1-13
chr5	86398419	86398663	lnc-AC008394.1-6
chr5	86415159	86415618	lnc-AC008394.1-5
chr5	86501224	86535962	lnc-AC008394.1-3
chr5	86590007	86590290	lnc-AC008394.1-4
chr5	86690096	86697591	lnc-AC008394.1-7
chr5	86700658	86708706	lnc-AC008394.1-8
chr5	87219203	87235840	lnc-TMEM161B-6
chr5	87240403	87240607	lnc-RASA1-11
chr5	87492166	87494268	lnc-MEF2C-9
chr5	87502236	87565293	lnc-TMEM161B-9
chr5	87514707	87515080	lnc-RASA1-14
chr5	87553772	87555310	lnc-MEF2C-8
chr5	87566340	87583994	lnc-TMEM161B-4
chr5	87625182	87625920	lnc-RASA1-15
chr5	87626546	87626799	lnc-RASA1-16
chr5	87677773	87678542	lnc-RASA1-17
chr5	87678764	87679077	lnc-RASA1-18
chr5	87692931	87693156	lnc-RASA1-19
chr5	87898597	87898935	lnc-RASA1-20
chr5	87960263	87962665	lnc-RASA1-21
chr5	87980869	87982939	lnc-RASA1-22
chr5	88018653	88025336	lnc-TMEM161B-8
chr5	88027260	88044941	lnc-TMEM161B-11
chr5	88119612	88199869	lnc-TMEM161B-10
chr5	88204995	88214922	lnc-MEF2C-5
chr5	89561078	89575353	lnc-CETN3-5
chr5	89689884	89703668	lnc-MBLAC2-1
chr5	90086971	90089022	lnc-POLR3G-5
chr5	90100743	90103482	lnc-POLR3G-7
chr5	90142206	90144638	lnc-POLR3G-8
chr5	90326806	90327124	lnc-ARRDC3-9
chr5	90575896	90578519	lnc-GPR98-6
chr5	90664552	90666789	lnc-GPR98-8
chr5	90666614	90669662	lnc-AC027323.1-1
chr5	90670816	90676837	lnc-AC027323.1-2
chr5	90676163	90734902	ARRDC3-AS1
chr5	90772198	90772835	lnc-GPR98-12
chr5	91139503	91140346	lnc-ARRDC3-10
chr5	92163904	92164320	lnc-NR2F1-8
chr5	92176513	92177335	lnc-FAM172A-12
chr5	92763994	92764346	lnc-FAM172A-10
chr5	92763995	92774445	lnc-NR2F1-7
chr5	92929722	92930317	lnc-ANKRD32-11
chr5	93075978	93079206	lnc-NR2F1-6
chr5	93447435	93587527	lnc-ANKRD32-10
chr5	93903165	93904614	lnc-ANKRD32-6
chr5	93904633	93905175	lnc-MCTP1-2
chr5	93905244	93906381	lnc-ANKRD32-5
chr5	93928472	93930496	lnc-ANKRD32-4
chr5	93947610	93954309	lnc-KIAA0825-1
chr5	93954389	93989033	lnc-FAM81B-6
chr5	94026899	94027885	lnc-FAM81B-5
chr5	94027890	94075141	lnc-ANKRD32-3
chr5	94043229	94046398	lnc-KIAA0825-2
chr5	94161665	94162399	lnc-KIAA0825-3
chr5	94278053	94501879	lnc-TTC37-4
chr5	94591535	94595413	lnc-FAM81B-4
chr5	94728529	94746514	lnc-ARSK-2
chr5	94796345	94796855	lnc-FAM81B-1
chr5	94796940	94798112	lnc-FAM81B-2
chr5	94798401	94799375	lnc-FAM81B-3
chr5	94839553	94848704	lnc-SPATA9-6
chr5	94848835	94852472	lnc-SPATA9-5
chr5	94863716	94872811	lnc-SPATA9-4
chr5	94871014	94872172	lnc-ARSK-1
chr5	94882677	94886461	lnc-SPATA9-3
chr5	94946080	94955781	lnc-SPATA9-2
chr5	94982480	94988567	lnc-GPR150-1
chr5	95049225	95072626	lnc-RHOBTB3-1
chr5	95104702	95106404	lnc-C5orf27-6
chr5	95117039	95157995	lnc-ELL2-3
chr5	95119285	95124557	lnc-C5orf27-5
chr5	95169467	95170750	lnc-GLRX-2
chr5	95213691	95221593	lnc-C5orf27-4
chr5	95235931	95236836	lnc-GLRX-3
chr5	95242227	95297491	lnc-GLRX-5
chr5	95338603	95339260	lnc-ELL2-2
chr5	95546904	95548572	lnc-CAST-10
chr5	95666244	95669482	lnc-PCSK1-4
chr5	95726039	95768952	lnc-PCSK1-2
chr5	95768986	95770845	lnc-CAST-9
chr5	95834418	95835762	lnc-CAST-7
chr5	96149730	96271513	lnc-CTD-2260A17.2.1-1
chr5	96232275	96235946	lnc-LNPEP-5
chr5	96271097	96273470	lnc-LNPEP-1
chr5	96278002	96278888	lnc-ERAP2-1
chr5	96308104	96308599	lnc-ERAP2-2
chr5	96371585	96373214	lnc-CTD-2215E18.1.1-4
chr5	96512707	96518874	lnc-LIX1-2
chr5	96704479	96706125	lnc-CTD-2215E18.1.1-5
chr5	96785061	96785445	lnc-RIOK2-3
chr5	96786030	96786319	lnc-RIOK2-4
chr5	97013250	97014385	lnc-RIOK2-5
chr5	97073597	97074617	lnc-CTD-2215E18.1.1-6
chr5	97538762	97540897	lnc-RGMB-7
chr5	97645843	97646056	lnc-CHD1-7
chr5	97745378	97745804	lnc-CHD1-6
chr5	97745938	97747496	lnc-CHD1-5
chr5	98105139	98108679	lnc-CTD-2215E18.1.1-7
chr5	98115548	98134347	lnc-RGMB-3
chr5	98169085	98169415	lnc-RGMB-4
chr5	98185052	98187266	lnc-RGMB-5
chr5	98192128	98194368	lnc-RIOK2-6
chr5	98205182	98206420	lnc-RIOK2-7
chr5	98216950	98223890	lnc-RIOK2-8
chr5	98290097	98290676	lnc-RGMB-6
chr5	98825262	98835071	lnc-RGMB-8
chr5	98930032	98930444	lnc-CHD1-8
chr5	98930583	98931001	lnc-RGMB-9
chr5	99381631	99382078	lnc-ST8SIA4-12
chr5	99382153	99382674	lnc-FAM174A-4
chr5	99382680	99384489	lnc-ST8SIA4-11
chr5	99384691	99386354	lnc-ST8SIA4-10
chr5	99386422	99386767	lnc-ST8SIA4-9
chr5	99386836	99387620	lnc-ST8SIA4-8
chr5	99388562	99389243	lnc-ST8SIA4-7
chr5	99389389	99390749	lnc-ST8SIA4-6
chr5	99582988	99584015	lnc-ST8SIA4-5
chr5	99871085	99922433	lnc-RGMB-10
chr5	100068761	100069090	lnc-FAM174A-2
chr5	100117458	100128791	lnc-FAM174A-3
chr5	100206202	100207715	lnc-SLCO4C1-5
chr5	100222055	100226586	lnc-SLCO4C1-4
chr5	100917533	100917830	lnc-FAM174A-5
chr5	101152205	101152484	lnc-SLCO4C1-3
chr5	101311999	101312502	lnc-PAM-8
chr5	101638207	101638514	lnc-PAM-7
chr5	101707648	101726933	lnc-SLCO4C1-1
chr5	101774244	101813401	lnc-SLCO4C1-2
chr5	102000259	102004281	lnc-PAM-6
chr5	102029809	102209508	lnc-PAM-1
chr5	102102691	102147671	lnc-SLCO6A1-3
chr5	102343156	102364971	lnc-PPIP5K2-1
chr5	102437979	102440325	lnc-NUDT12-11
chr5	102442267	102455842	lnc-NUDT12-10
chr5	102508957	102509895	lnc-C5orf30-6
chr5	102519943	102526759	lnc-C5orf30-5
chr5	102530481	102537370	lnc-C5orf30-4
chr5	102617472	102621578	lnc-GIN1-2
chr5	102621729	102625603	lnc-GIN1-3
chr5	102638550	102653030	lnc-GIN1-4
chr5	102890202	102891790	lnc-GIN1-5
chr5	103402463	103405076	lnc-C5orf30-7
chr5	103596233	103596527	lnc-NUDT12-12
chr5	104435173	104435799	lnc-C5orf30-8
chr5	105583106	105583389	lnc-FER-16
chr5	105878766	105880031	lnc-EFNA5-8
chr5	106300100	106300653	lnc-FER-15
chr5	106318190	106321329	lnc-EFNA5-6
chr5	106318909	106319282	lnc-EFNA5-5
chr5	106716684	106724254	lnc-FBXL17-3
chr5	106918463	106918927	lnc-FER-14
chr5	107004861	107006391	lnc-FER-13
chr5	107070475	107070767	lnc-EFNA5-4
chr5	107114649	107116655	lnc-FER-11
chr5	107146329	107146625	lnc-FER-9
chr5	107929309	107929668	lnc-FER-7
chr5	108058319	108064127	LINC01023
chr5	108065630	108067538	lnc-FER-3
chr5	108084099	108168521	lnc-MAN2A1-8
chr5	108528055	108530759	lnc-MAN2A1-6
chr5	108548948	108553902	lnc-FER-4
chr5	108670481	108670873	lnc-FER-6
chr5	108714867	108745017	lnc-TMEM232-7
chr5	108784049	108784764	lnc-PJA2-2
chr5	109035200	109035535	lnc-PJA2-4
chr5	109129875	109155979	lnc-AC011366.3.1-5
chr5	109189281	109205326	lnc-MAN2A1-4
chr5	109220310	109221124	lnc-TMEM232-6
chr5	109341737	109357719	lnc-AC011366.3.1-6
chr5	109624933	110074753	lnc-TMEM232-4
chr5	110018946	110022955	lnc-STARD4-6
chr5	110073836	110092731	lnc-SLC25A46-1
chr5	110243982	110244412	lnc-SLC25A46-2
chr5	110319261	110320165	lnc-TMEM232-5
chr5	110428044	110430907	lnc-TSLP-2
chr5	110490941	110491850	lnc-STARD4-5
chr5	110560161	110700928	lnc-WDR36-2
chr5	110652222	110652510	lnc-WDR36-1
chr5	110835282	110848233	lnc-C5orf13-1
chr5	111055465	111055758	lnc-STARD4-3
chr5	111066338	111093330	lnc-STARD4-4
chr5	111181746	111182263	lnc-EPB41L4A-2
chr5	111500697	111519084	lnc-C5orf13-2
chr5	111531357	111541759	lnc-C5orf13-3
chr5	111570330	111584887	lnc-C5orf13-4
chr5	111610935	111643099	lnc-C5orf13-5
chr5	111699152	111699363	lnc-C5orf13-6
chr5	111754985	111756677	EPB41L4A-AS2
chr5	111788399	111788686	lnc-EPB41L4A-1
chr5	111882669	111883202	lnc-APC-7
chr5	112043217	112102080	lnc-CTC-554D6.1.1-2
chr5	112162909	112173541	lnc-CTC-554D6.1.1-1
chr5	112196884	112227422	lnc-SRP19-1
chr5	112220790	112221442	lnc-ZRSR1-3
chr5	112229029	112229698	lnc-ZRSR1-1
chr5	112268585	112268830	lnc-ZRSR1-4
chr5	112312509	112320348	lnc-ZRSR1-5
chr5	112321528	112344004	lnc-ZRSR1-6
chr5	112783819	112824520	lnc-TSSK1B-1
chr5	112901415	112915363	lnc-DCP2-1
chr5	112916962	112930982	lnc-YTHDC2-2
chr5	113589209	113589451	lnc-KCNN2-3
chr5	114477020	114505563	lnc-PGGT1B-8
chr5	114506802	114509978	lnc-PGGT1B-7
chr5	114530239	114535918	lnc-PGGT1B-4
chr5	114552561	114567481	lnc-CCDC112-2
chr5	114588527	114598562	lnc-CCDC112-1
chr5	114605295	114607307	lnc-PGGT1B-3
chr5	114611035	114632320	lnc-PGGT1B-6
chr5	114624732	114625027	lnc-PGGT1B-5
chr5	114738076	114738659	lnc-AP3S1-14
chr5	114825330	114825628	lnc-AP3S1-13
chr5	114829253	114829518	lnc-AP3S1-12
chr5	114910745	114913454	lnc-AP3S1-11
chr5	114914346	114914598	lnc-AP3S1-10
chr5	114914611	114915030	lnc-AP3S1-9
chr5	114917426	114937886	lnc-TMED7-3
chr5	115106282	115106686	lnc-AP3S1-7
chr5	115148878	115150178	lnc-ATG12-1
chr5	115166037	115175191	lnc-CDO1-1
chr5	115176248	115177256	lnc-CDO1-3
chr5	115177288	115249597	lnc-LVRN.1-2
chr5	115267145	115267687	lnc-ATG12-2
chr5	115350114	115355812	lnc-COMMD10-9
chr5	115356723	115363300	lnc-COMMD10-8
chr5	115365619	115367620	lnc-COMMD10-7
chr5	115387606	115387986	lnc-ATG12-3
chr5	115419213	115421113	lnc-ATG12-5
chr5	115549571	115550152	lnc-LVRN.1-3
chr5	115553722	115553992	lnc-SEMA6A-7
chr5	115627235	115748459	lnc-COMMD10-4
chr5	115818154	115822925	lnc-ATG12-7
chr5	115885810	115909930	lnc-ATG12-9
chr5	115887965	115890185	lnc-ATG12-8
chr5	116025840	116040866	lnc-SEMA6A-6
chr5	116100129	116283319	lnc-COMMD10-10
chr5	116281743	116282143	lnc-COMMD10-11
chr5	116382514	116387856	lnc-SEMA6A-8
chr5	116636799	116637138	lnc-SEMA6A-9
chr5	117054934	117057792	lnc-DTWD2-13
chr5	117114520	117115227	lnc-DTWD2-12
chr5	118309490	118309817	lnc-DMXL1-7
chr5	118347165	118347751	lnc-DMXL1-6
chr5	118373466	118465027	lnc-DMXL1-5
chr5	118462476	118464139	lnc-DTWD2-7
chr5	118463896	118464783	lnc-TNFAIP8-8
chr5	118468345	118468577	lnc-DTWD2-8
chr5	118469920	118483277	lnc-TNFAIP8-7
chr5	118503323	118506230	lnc-TNFAIP8-5
chr5	118533452	118542587	lnc-TNFAIP8-3
chr5	118572008	118584815	lnc-TNFAIP8-1
chr5	118642038	118642326	lnc-DTWD2-9
chr5	118677270	118680524	lnc-DMXL1-8
chr5	118788460	118792427	lnc-TNFAIP8-2
chr5	118812265	118814638	lnc-TNFAIP8-4
chr5	118832250	118835333	lnc-TNFAIP8-6
chr5	118861430	118865795	lnc-FAM170A-1
chr5	118890944	118891353	lnc-DTWD2-11
chr5	119993771	119994066	lnc-LOX-9
chr5	120394938	120396648	lnc-PRR16-3
chr5	120531674	120531905	lnc-LOX-8
chr5	120698696	120701009	lnc-FTMT-3
chr5	120911542	120912015	lnc-LOX-7
chr5	121356224	121411265	lnc-SRFBP1-1
chr5	121465316	121518353	lnc-ZNF474-1
chr5	122139188	122144406	lnc-SNX24-5
chr5	122151262	122153035	lnc-SNX24-4
chr5	122163015	122165450	lnc-SNX24-3
chr5	122165931	122166451	lnc-PPIC-6
chr5	122178559	122181213	lnc-PPIC-5
chr5	122179133	122337840	lnc-SNX24-2
chr5	122358183	122358478	lnc-PPIC-4
chr5	122364187	122372420	lnc-CEP120-6
chr5	122406476	122406773	lnc-PRDM6-1
chr5	122509094	122516013	lnc-SNX24-6
chr5	122571772	122572064	lnc-PRDM6-2
chr5	122801814	122847678	lnc-CEP120-4
chr5	122888658	122893258	lnc-PRDM6-4
chr5	123556271	123556770	lnc-ZNF608-17
chr5	123833014	123840793	lnc-RP11-43D2.2.1-17
chr5	124144520	124144926	lnc-ZNF608-13
chr5	124171553	124186159	lnc-ZNF608-14
chr5	124410357	124410673	lnc-RP11-43D2.2.1-19
chr5	124686560	124686824	lnc-ZNF608-18
chr5	125198438	125198886	lnc-ALDH7A1-11
chr5	125221977	125222446	lnc-ALDH7A1-10
chr5	125302469	125303778	lnc-ALDH7A1-9
chr5	125395397	125397381	lnc-GRAMD3-6
chr5	125759097	125819338	lnc-PHAX-2
chr5	125828629	125832186	lnc-GRAMD3-3
chr5	125832579	125834296	lnc-GRAMD3-4
chr5	125880430	125887794	lnc-MARCH3-6
chr5	125919623	125930131	lnc-MARCH3-5
chr5	125963708	125964011	lnc-ALDH7A1-4
chr5	125968225	125971934	lnc-PHAX-1
chr5	125999028	125999260	lnc-ALDH7A1-5
chr5	126045404	126052986	lnc-LMNB1-2
chr5	126073129	126073687	lnc-MARCH3-4
chr5	126190649	126192242	lnc-LMNB1-1
chr5	126203405	126205155	lnc-MARCH3-2
chr5	126234564	126250682	lnc-C5orf63-4
chr5	126366452	126378188	lnc-LMNB1-3
chr5	126381050	126409172	lnc-MARCH3-3
chr5	126409278	126411296	lnc-MEGF10-6
chr5	126745283	126753361	lnc-PRRC1-3
chr5	126780104	126781236	lnc-PRRC1-1
chr5	126801513	126801810	lnc-MEGF10-2
chr5	126853331	126859800	lnc-MEGF10-4
chr5	126883526	126888148	lnc-MEGF10-5
chr5	126988706	126989383	lnc-PRRC1-2
chr5	127120309	127122734	lnc-FBN2-8
chr5	127292490	127397273	lnc-SLC12A2-3
chr5	127412450	127413364	lnc-SLC12A2-2
chr5	127445177	127446686	lnc-SLC27A6-2
chr5	127487041	127518613	lnc-SLC27A6-3
chr5	127522489	127522778	lnc-SLC27A6-1
chr5	127675078	127702116	lnc-SLC12A2-5
chr5	127781768	127873916	lnc-C5orf63-6
chr5	128419937	128423875	lnc-ISOC1-2
chr5	129243779	129520195	lnc-KIAA1024L-1
chr5	129865111	129865582	lnc-CHSY3-1
chr5	129934040	129934472	lnc-CHSY3-2
chr5	130145702	130147390	lnc-HINT1-3
chr5	130495170	130507428	lnc-HINT1-1
chr5	130538332	130539394	lnc-CDC42SE2-2
chr5	130540151	130541120	lnc-LYRM7-3
chr5	130700967	130701356	lnc-RAPGEF6-1
chr5	130727893	130734140	lnc-CDC42SE2-5
chr5	130748047	130751330	lnc-CDC42SE2-3
chr5	130799742	130808613	lnc-HINT1-2
chr5	131142815	131281391	lnc-FNIP1-3
chr5	131295265	131296638	lnc-FNIP1-4
chr5	131317551	131323783	lnc-FNIP1-5
chr5	131328858	131347936	lnc-ACSL6-2
chr5	131466720	131474383	lnc-P4HA2-6
chr5	131483183	131485252	lnc-P4HA2-5
chr5	131504973	131506171	lnc-PDLIM4-4
chr5	131525840	131527202	lnc-P4HA2-4
chr5	131535148	131539180	lnc-PDLIM4-3
chr5	131542825	131544720	lnc-ACSL6-3
chr5	131584599	131644520	lnc-P4HA2-3
chr5	131593395	131607756	lnc-SLC22A4-1
chr5	131631117	131656665	lnc-PDLIM4-2
chr5	131686111	131701412	lnc-SLC22A5-1
chr5	131746464	131811736	lnc-C5orf56-2
chr5	131818776	131826446	lnc-IL5-1
chr5	131867380	131867644	lnc-RAD50-1
chr5	131877474	131892550	lnc-IL5-3
chr5	131930913	131940720	lnc-IL13-3
chr5	131991954	131996242	lnc-IL13-1
chr5	132010049	132015561	lnc-IL13-2
chr5	132032239	132035172	lnc-SEPT8-3
chr5	132086631	132087703	lnc-ANKRD43-1
chr5	132087150	132096563	lnc-KIF3A-2
chr5	132100082	132112940	lnc-KIF3A-3
chr5	132158974	132159497	lnc-SEPT8-1
chr5	132159730	132160308	lnc-SEPT8-2
chr5	132198075	132202576	lnc-GDF9-1
chr5	132202333	132203391	lnc-LEAP2-1
chr5	132209135	132210390	lnc-UQCRQ-1
chr5	132227533	132233207	lnc-LEAP2-2
chr5	132232895	132269923	lnc-GDF9-2
chr5	132284184	132284410	lnc-LEAP2-4
chr5	132298732	132299302	lnc-ZCCHC10-4
chr5	132323343	132323802	lnc-ZCCHC10-1
chr5	132334104	132362241	lnc-AFF4-2
chr5	132338810	132339057	lnc-HSPA4-6
chr5	132385315	132385750	lnc-ZCCHC10-2
chr5	132386665	132387549	lnc-ZCCHC10-3
chr5	132507909	132508745	lnc-FSTL4-2
chr5	132535424	132545587	lnc-ZCCHC10-5
chr5	132668798	132669772	lnc-ZCCHC10-6
chr5	132696526	132712946	lnc-ZCCHC10-7
chr5	133056185	133056625	lnc-FSTL4-4
chr5	133295468	133304316	lnc-VDAC1-2
chr5	133340559	133344298	lnc-TCF7-5
chr5	133451601	133483927	lnc-UBE2B-6
chr5	133509077	133512641	lnc-PPP2CA-1
chr5	133533326	133535141	lnc-CDKL3-3
chr5	133536664	133538176	lnc-CDKL3-1
chr5	133562100	133563518	lnc-TCF7-4
chr5	133603111	133603547	lnc-UBE2B-5
chr5	133541304	133706735	lnc-CDKL3-2
chr5	133707192	133726474	lnc-PHF15-4
chr5	133737773	133747572	lnc-UBE2B-2
chr5	133748083	133756171	lnc-UBE2B-3
chr5	133758528	133759026	lnc-UBE2B-4
chr5	133853500	133853785	lnc-PHF15-3
chr5	133861351	133872819	lnc-SEC24A-2
chr5	133892109	133892773	lnc-SEC24A-1
chr5	133967291	133968499	lnc-CDKN2AIPNL-3
chr5	133983571	133984478	lnc-CDKN2AIPNL-4
chr5	134061116	134063509	lnc-SAR1B-1
chr5	134116425	134117642	lnc-CAMLG-2
chr5	134140467	134140822	lnc-SAR1B-2
chr5	134161502	134164729	lnc-C5orf24-1
chr5	134198780	134199123	lnc-PITX1-6
chr5	134223842	134235589	lnc-PCBD2-2
chr5	134235626	134237201	lnc-PCBD2-1
chr5	134244519	134294785	lnc-TXNDC15-2
chr5	134258992	134259739	lnc-PITX1-5
chr5	134259812	134260334	lnc-TXNDC15-1
chr5	134262344	134264016	lnc-PITX1-4
chr5	134303596	134331544	lnc-CTC-203F4.1.1-4
chr5	134364976	134367700	lnc-CTC-349C3.2.1-5
chr5	134370210	134371584	lnc-CATSPER3-4
chr5	134584469	134584679	lnc-CTC-349C3.2.1-2
chr5	134670790	134686645	lnc-CTC-349C3.2.1-4
chr5	134724606	134735577	lnc-C5orf20-1
chr5	134734969	134738305	lnc-CTC-203F4.1.1-3
